case_num,param_0,param_1,R1_rxn1,R1_rxn2,R1_rxn3,R1_rxn4,R1_rxn5,R1_rxn6,R1_rxn7,R1_rxn8,R1_rxn9,R1_rxn10,R1_rxn11,R1_rxn12,R1_rxn13,R1_rxn14,R1_rxn15,R1_rxn16,R1_rxn17,R1_rxn18,R1_rxn19,R1_rxn20,R1_rxn21,R1_rxn22,R1_rxn23,R1_rxn24,R1_rxn25,R1_rxn26,R1_rxn27,R1_rxn28,R1_rxn29,R1_rxn30,R1_rxn31,R1_rxn32,R1_rxn33,R1_rxn34,R1_rxn35,R1_rxn36,R1_rxn37,R1_rxn38,R1_rxn39,R1_rxn40,R1_rxn41,R1_rxn42,R1_rxn43,R1_rxn44,R1_rxn45,R1_rxn46,R1_rxn47,R1_rxn48,R1_rxn49,R1_rxn50,R1_rxn51,R1_rxn52,R1_rxn53,R1_rxn54,R1_rxn55,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,state
0,0,0,1,1,1,1,1,1,0.3,0.2,0.25,0.5,0.9,1,1,0,1,1,0.45,0.25,0.25,0.2,0,0.8,1,1,1,0,0,0,1,0,1,0,0,0.1,0.1,0,0,0,1,0,0,1,0,0.5,0,1,0,0,0.5,0,0,0.4,1,1,1,0.051264745,0.088433616,0.136308333,0.115011775,0.135756499,0.118106062,0.096000972,0.083483648,0.048847574,0.049813098,0.028137375,0.020595525,0.019148861,0.009091917,0,0,0,0,0,0,Warning
1,0,0.1,1,1,1,1,1,1,0.37,0.21,0.225,0.49,0.84,0.9,0.982,0.1,1,1,0.405,0.255,0.265,0.195,0.05,0.813,0.9,1,0.985,0.1,0.02,0,1,0,1,0,0,0.125,0.09,0,0.005,0,0.9,0,0,1,0.026,0.502,0.1,1,0.06,0.1,0.45,0.01,0.04,0.46,0.9,1,1,0.041869118,0.080790438,0.128967922,0.110960261,0.130836002,0.124091673,0.104900048,0.082649367,0.051235756,0.049999464,0.025236364,0.022511232,0.01915328,0.01292812,0.001837917,0.001524039,0,0,0,0.010508999,Warning
2,0,0.2,1,1,1,1,1,1,0.44,0.22,0.2,0.48,0.78,0.8,0.964,0.2,1,1,0.36,0.26,0.28,0.19,0.1,0.826,0.8,1,0.97,0.2,0.04,0,1,0,1,0,0,0.15,0.08,0,0.01,0,0.8,0,0,1,0.052,0.504,0.2,1,0.12,0.2,0.4,0.02,0.08,0.52,0.8,1,1,0.03370055,0.075000999,0.122838708,0.107353741,0.126892492,0.129860665,0.112174705,0.082259375,0.053324263,0.05036501,0.023453097,0.024403967,0.019234041,0.015988625,0.003544539,0.00290121,0,0,0,0.016704011,Warning
3,0,0.3,1,1,1,1,1,1,0.51,0.23,0.175,0.47,0.72,0.7,0.946,0.3,1,1,0.315,0.265,0.295,0.185,0.15,0.839,0.7,1,0.955,0.3,0.06,0,1,0,1,0,0,0.175,0.07,0,0.015,0,0.7,0,0,1,0.078,0.506,0.3,1,0.18,0.3,0.35,0.03,0.12,0.58,0.7,1,1,0.026593142,0.070677848,0.117597408,0.104124545,0.123769896,0.135360055,0.117925007,0.082245406,0.05513584,0.050878696,0.022771364,0.026281289,0.019378375,0.01836455,0.005142925,0.004152201,0,0,0,0.019601452,Warning
4,0,0.4,1,1,1,1,1,1,0.58,0.24,0.15,0.46,0.66,0.6,0.928,0.4,1,1,0.27,0.27,0.31,0.18,0.2,0.852,0.6,1,0.94,0.4,0.08,0,1,0,1,0,0,0.2,0.06,0,0.02,0,0.6,0,0,1,0.104,0.508,0.4,1,0.24,0.4,0.3,0.04,0.16,0.64,0.6,1,1,0.020428487,0.067514603,0.112990532,0.101226634,0.121350273,0.140529109,0.122206651,0.082554768,0.056685364,0.051515914,0.023199238,0.028147379,0.019576164,0.02012344,0.006649561,0.005291508,0,0,0,0.020010374,Warning
5,0,0.5,1,1,1,1,1,1,0.65,0.25,0.125,0.45,0.6,0.5,0.91,0.5,1,1,0.225,0.275,0.325,0.175,0.25,0.865,0.5,1,0.925,0.5,0.1,0,1,0,1,0,0,0.225,0.05,0,0.025,0,0.5,0,0,1,0.13,0.51,0.5,1,0.3,0.5,0.25,0.05,0.2,0.7,0.5,1,1,0.015122689,0.06526379,0.108816345,0.098630285,0.119543409,0.14530073,0.125043758,0.083146048,0.057982425,0.052256495,0.024762141,0.030003857,0.019819212,0.021316438,0.00807612,0.006329111,0,0,0,0.018587147,Warning
6,0,0.6,1,1,1,1,1,1,0.72,0.26,0.1,0.44,0.54,0.4,0.892,0.6,1,1,0.18,0.28,0.34,0.17,0.3,0.878,0.4,1,0.91,0.6,0.12,0,1,0,1,0,0,0.25,0.04,0,0.03,0,0.4,0,0,1,0.156,0.512,0.6,1,0.36,0.6,0.2,0.06,0.24,0.76,0.4,1,1,0.010617285,0.063721854,0.104912964,0.096318321,0.118279633,0.1496027,0.126437988,0.083986155,0.059033176,0.053083561,0.027497711,0.031850369,0.020100742,0.021983295,0.009430684,0.007271651,0,0,0,0.01587191,Warning
7,0,0.7,1,1,1,1,1,1,0.79,0.27,0.075,0.43,0.48,0.3,0.874,0.7,1,1,0.135,0.285,0.355,0.165,0.35,0.891,0.3,1,0.895,0.7,0.14,0,1,0,1,0,0,0.275,0.03,0,0.035,0,0.3,0,0,1,0.182,0.514,0.7,1,0.42,0.7,0.15,0.07,0.28,0.82,0.3,1,1,0.006872755,0.062719127,0.101148639,0.094283703,0.117505167,0.153359416,0.126375687,0.085048567,0.059841901,0.053981618,0.031451954,0.033685149,0.02041513,0.022156044,0.010718671,0.008123312,0,0,0,0.01231316,Warning
8,0,0.8,1,1,1,1,1,1,0.86,0.28,0.05,0.42,0.42,0.2,0.856,0.8,1,1,0.09,0.29,0.37,0.16,0.4,0.904,0.2,1,0.88,0.8,0.16,0,1,0,1,0,0,0.3,0.02,0,0.04,0,0.2,0,0,1,0.208,0.516,0.8,1,0.48,0.8,0.1,0.08,0.32,0.88,0.2,1,1,0.003863623,0.062111729,0.097424079,0.092525977,0.117176636,0.156490654,0.124830969,0.086310545,0.06041111,0.054941729,0.036675612,0.035504845,0.020757347,0.02186126,0.011943328,0.008886322,0,0,0,0.008284236,Warning
9,0,0.9,1,1,1,1,1,1,0.93,0.29,0.025,0.41,0.36,0.1,0.838,0.9,1,1,0.045,0.295,0.385,0.155,0.45,0.917,0.1,1,0.865,0.9,0.18,0,1,0,1,0,0,0.325,0.01,0,0.045,0,0.1,0,0,1,0.234,0.518,0.9,1,0.54,0.9,0.05,0.09,0.36,0.94,0.1,1,1,0.001575077,0.061778666,0.093652487,0.091052748,0.117262285,0.158917783,0.121773711,0.08775491,0.060744294,0.055949818,0.043222679,0.037305928,0.021123464,0.021122714,0.013106597,0.009561709,0,0,0,0.004095129,Warning
