case_num,param_0,param_1,R1_rxn1,R1_rxn2,R1_rxn3,R1_rxn4,R1_rxn5,R1_rxn6,R1_rxn7,R1_rxn8,R1_rxn9,R1_rxn10,R1_rxn11,R1_rxn12,R1_rxn13,R1_rxn14,R1_rxn15,R1_rxn16,R1_rxn17,R1_rxn18,R1_rxn19,R1_rxn20,R1_rxn21,R1_rxn22,R1_rxn23,R1_rxn24,R1_rxn25,R1_rxn26,R1_rxn27,R1_rxn28,R1_rxn29,R1_rxn30,R1_rxn31,R1_rxn32,R1_rxn33,R1_rxn34,R1_rxn35,R1_rxn36,R1_rxn37,R1_rxn38,R1_rxn39,R1_rxn40,R1_rxn41,R1_rxn42,R1_rxn43,R1_rxn44,R1_rxn45,R1_rxn46,R1_rxn47,R1_rxn48,R1_rxn49,R1_rxn50,R1_rxn51,R1_rxn52,R1_rxn53,R1_rxn54,R1_rxn55,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,state
103,0.101471543,0.663501769,1,1,1,1,1,1,0.81518701,0.271423754,0.104418866,0.443796977,0.461310321,0.235026688,0.804466024,0.764973312,1,1,0.10576201,0.318690128,0.32415738,0.146530603,0.433222427,0.906549539,0.235026688,1,0.829444655,0.764973312,0.132700354,0.07103008,0.92896992,0.101471543,0.898528457,0.040588617,0.069508007,0.255728288,0.079312017,0.03551504,0.134646631,0,0.336498231,0,0,0.898528457,0.17251046,0.462534264,0.764973312,1,0.41839537,0.764973312,0.218984887,0.16782172,0.265400708,0.757512444,0.235026688,0.898528457,0.898528457,0.007936643,0.057477576,0.08996768,0.083273809,0.108607098,0.13748124,0.106351959,0.073633117,0.056112837,0.057314387,0.039833233,0.046425305,0.022437616,0.028681688,0.015674828,0.012614541,0.006891812,0.003889841,0.004465382,0.040929409,Warning
104,0.005061584,0.160808051,1,1,1,1,1,1,0.415096428,0.216333884,0.210810304,0.484425353,0.801490536,0.834130365,0.967258363,0.165869635,1,1,0.375358664,0.259811957,0.272855812,0.190947281,0.08546561,0.821917363,0.834130365,1,0.972335684,0.165869635,0.03216161,0.003543109,0.996456891,0.005061584,0.994938416,0.002024634,0.003467185,0.139695854,0.086196908,0.001771554,0.013101986,0,0.839191949,0,0,0.994938416,0.041810093,0.500685369,0.165869635,1,0.097497148,0.165869635,0.422126766,0.021142389,0.064323221,0.494460197,0.834130365,0.994938416,0.994938416,0.036661991,0.076729217,0.124142686,0.107661623,0.127671543,0.127058925,0.108415893,0.081731433,0.052393039,0.05043833,0.024457714,0.024659541,0.019295215,0.01540471,0.003291225,0.002717651,0.000462992,0.000208331,0.000172378,0.016425561,Warning
105,0.442302892,0.557697108,1,1,1,1,1,1,0.911539422,0.277884855,0.199036302,0.488460578,0.388460578,0,0.567887351,1,1,1,0,0.432690868,0.223078843,0.083654566,0.721151446,0.960961202,0,1,0.606733409,1,0.111539422,0.309612025,0.690387975,0.442302892,0.557697108,0.176921157,0.302977481,0.195193988,0.243266591,0.154806012,0.470187748,0,0.442302892,0,0,0.557697108,0.145001248,0.290002496,1,1,0.423078843,1,0.442302892,0.498072603,0.223078843,0.557697108,0,0.557697108,0.557697108,0.007473393,0.044701338,0.05867963,0.062654506,0.083531081,0.097518953,0.064291992,0.048919107,0.045709784,0.064369937,0.060199832,0.065385027,0.029304507,0.040735407,0.02691849,0.025134854,0.020606237,0.015279001,0.01497579,0.123611134,Warning
106,0.65196126,0.224269309,1,1,1,1,1,1,0.782969146,0.255024994,0.324324925,0.542769195,0.504653911,0.123769431,0.47066058,0.876230569,1,1,0.055696244,0.489399906,0.120650082,0.058394283,0.764095914,0.959547262,0.123769431,1,0.509986722,0.876230569,0.044853862,0.456372882,0.543627118,0.65196126,0.34803874,0.260784504,0.446593463,0.090871201,0.370955636,0.228186441,0.663174725,0,0.775730691,0,0,0.34803874,0.05831002,0.178504756,0.876230569,1,0.264953838,0.876230569,0.713845975,0.67438819,0.089707724,0.273777082,0.123769431,0.34803874,0.34803874,0.015374465,0.044093465,0.048474343,0.053951334,0.069183662,0.074865543,0.053926886,0.042289069,0.039628797,0.065147661,0.057604789,0.064486331,0.032471486,0.043812066,0.03021356,0.032510361,0.02643975,0.021147815,0.015933973,0.168444644,Warning
107,0.712179221,0.237249087,1,1,1,1,1,1,0.822163972,0.25933387,0.333123572,0.547493013,0.472778859,0.050571691,0.423160748,0.949428309,1,1,0.022757261,0.511125182,0.107542558,0.045701701,0.830803765,0.973278226,0.050571691,1,0.465887182,0.949428309,0.047449817,0.498525455,0.501474545,0.712179221,0.287820779,0.284871689,0.487842767,0.08809435,0.396755741,0.249262727,0.724041676,0,0.762750913,0,0,0.287820779,0.061684763,0.148655371,0.949428309,1,0.284785297,0.949428309,0.737465067,0.73590413,0.094899635,0.257477764,0.050571691,0.287820779,0.287820779,0.012819625,0.042254129,0.045941701,0.053433317,0.065908622,0.071450815,0.052155222,0.041352339,0.038943377,0.06527355,0.058762887,0.063305311,0.033872478,0.04369014,0.030396203,0.034216465,0.027180948,0.022786533,0.017370429,0.178885908,Warning
108,0.303575333,0.696424667,1,1,1,1,1,1,0.939284933,0.284821233,0.1366089,0.460715067,0.360715067,1.11E-16,0.64696206,1,1,1,5.00E-17,0.3910726,0.278569867,0.1044637,0.651787666,0.951250273,1.11E-16,1,0.683033567,1,0.139284933,0.212502733,0.787497267,0.303575333,0.696424667,0.121430133,0.207949103,0.243748634,0.166966433,0.106251366,0.338396566,0,0.303575333,0,0,0.696424667,0.181070414,0.362140827,1,1,0.478569867,1,0.303575333,0.373217799,0.278569867,0.696424667,1.11E-16,0.696424667,0.696424667,0.005473743,0.047922589,0.068154557,0.069213209,0.093419596,0.113574552,0.075810475,0.057538555,0.05007675,0.062809973,0.058148828,0.061834987,0.026873167,0.036553603,0.023813087,0.020554521,0.015994348,0.010932374,0.012064407,0.089236679,Warning
109,0.433419064,0.566580936,1,1,1,1,1,1,0.913316187,0.278329047,0.195038579,0.486683813,0.386683813,0,0.572951133,1,1,1,0,0.430025719,0.226632374,0.08498714,0.716709532,0.960339334,0,1,0.611619515,1,0.113316187,0.303393345,0.696606655,0.433419064,0.566580936,0.173367626,0.296892059,0.198303328,0.238380485,0.151696672,0.461748111,0,0.433419064,0,0,0.566580936,0.147311043,0.294622087,1,1,0.426632374,1,0.433419064,0.490077158,0.226632374,0.566580936,0,0.566580936,0.566580936,0.00735416,0.044866932,0.059242175,0.06302175,0.084142229,0.09846817,0.06491047,0.049370737,0.045968735,0.064290814,0.060103083,0.065266395,0.029148293,0.040527471,0.026747243,0.024843268,0.020348185,0.015010959,0.014823984,0.121544945,Warning
110,0.536423331,0.463576669,1,1,1,1,1,1,0.892715334,0.273178833,0.241390499,0.507284666,0.407284666,5.55E-17,0.514238701,1,1,1,2.50E-17,0.460926999,0.185430668,0.0695365,0.768211666,0.967549633,5.55E-17,1,0.554967168,1,0.092715334,0.375496332,0.624503668,0.536423331,0.463576669,0.214569332,0.367449982,0.162251834,0.295032832,0.187748166,0.559602165,0,0.536423331,0,0,0.463576669,0.120529934,0.241059868,1,1,0.385430668,1,0.536423331,0.582780998,0.185430668,0.463576669,5.55E-17,0.463576669,0.463576669,0.008668869,0.043217955,0.053215178,0.059164966,0.077231808,0.088025046,0.058637626,0.044930299,0.043154957,0.065031711,0.060872887,0.065832422,0.030966139,0.042460617,0.028487732,0.02821497,0.023088154,0.018038958,0.016350216,0.14440949,Warning
111,0.093674768,0.367715803,1,1,1,1,1,1,0.604238446,0.241455319,0.176806003,0.472595896,0.641900611,0.538609429,0.86355508,0.461390571,1,1,0.242374243,0.301171959,0.281738679,0.162879256,0.277532669,0.866538008,0.538609429,1,0.879270292,0.461390571,0.073543161,0.065572337,0.934427663,0.093674768,0.906325232,0.037469907,0.064167216,0.182561474,0.105382065,0.032786169,0.112060558,0,0.632284197,0,0,0.906325232,0.095606109,0.460516932,0.461390571,1,0.239364435,0.461390571,0.362979482,0.130446348,0.147086321,0.583159575,0.538609429,0.906325232,0.906325232,0.021201015,0.063158159,0.100025585,0.087708012,0.112008752,0.127387409,0.102998074,0.072120779,0.05326057,0.055048307,0.031295232,0.041949328,0.021411911,0.027122178,0.012211866,0.010200991,0.00705576,0.003631371,0.003428045,0.046776657,Warning
112,0.265202368,0.243989643,1,1,1,1,1,1,0.603393934,0.237659083,0.242043063,0.502121272,0.647525267,0.490807989,0.757180088,0.509192011,1,1,0.220863595,0.355020311,0.220297855,0.134760044,0.387197189,0.884759127,0.490807989,1,0.777759896,0.509192011,0.048797929,0.185641657,0.814358343,0.265202368,0.734797632,0.106080947,0.181663622,0.134477174,0.194942101,0.092820829,0.27740185,0,0.756010357,0,0,0.734797632,0.063437307,0.372278609,0.509192011,1,0.19943426,0.509192011,0.510606362,0.289601332,0.097595857,0.440312839,0.490807989,0.734797632,0.734797632,0.025147075,0.058052287,0.080108465,0.070280362,0.097317387,0.10465089,0.075534562,0.057546475,0.046926645,0.059795881,0.042790814,0.057599974,0.024546533,0.035761144,0.020205313,0.017928132,0.016710854,0.009680561,0.00785406,0.091562588,Warning
