case_num,param_0,param_1,R1_rxn1,R1_rxn2,R1_rxn3,R1_rxn4,R1_rxn5,R1_rxn6,R1_rxn7,R1_rxn8,R1_rxn9,R1_rxn10,R1_rxn11,R1_rxn12,R1_rxn13,R1_rxn14,R1_rxn15,R1_rxn16,R1_rxn17,R1_rxn18,R1_rxn19,R1_rxn20,R1_rxn21,R1_rxn22,R1_rxn23,R1_rxn24,R1_rxn25,R1_rxn26,R1_rxn27,R1_rxn28,R1_rxn29,R1_rxn30,R1_rxn31,R1_rxn32,R1_rxn33,R1_rxn34,R1_rxn35,R1_rxn36,R1_rxn37,R1_rxn38,R1_rxn39,R1_rxn40,R1_rxn41,R1_rxn42,R1_rxn43,R1_rxn44,R1_rxn45,R1_rxn46,R1_rxn47,R1_rxn48,R1_rxn49,R1_rxn50,R1_rxn51,R1_rxn52,R1_rxn53,R1_rxn54,R1_rxn55,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,state
0,0.28261752,0.71738248,1,1,1,1,1,1,0.943476496,0.285869124,0.127177884,0.456523504,0.356523504,0,0.658908014,1,1,1,0,0.384785256,0.286952992,0.107607372,0.64130876,0.949783226,0,1,0.694560364,1,0.143476496,0.197832264,0.802167736,0.28261752,0.71738248,0.113047008,0.193593001,0.251083868,0.155439636,0.098916132,0.318486644,0,0.28261752,0,0,0.71738248,0.186519445,0.37303889,1,1,0.486952992,1,0.28261752,0.354355768,0.286952992,0.71738248,0,0.71738248,0.71738248,0.005144968,0.048543501,0.069682743,0.070362521,0.094979128,0.11625211,0.077918205,0.059142643,0.050789905,0.062514538,0.057751809,0.060960927,0.026506587,0.035743109,0.023266918,0.019856076,0.015175779,0.010244044,0.011510564,0.083653925,Warning
1,0.550101535,0.449898465,1,1,1,1,1,1,0.889979693,0.272494923,0.247545691,0.510020307,0.410020307,0,0.506442125,1,1,1,0,0.46503046,0.179959386,0.06748477,0.775050767,0.968507107,0,1,0.547444156,1,0.089979693,0.385071074,0.614928926,0.550101535,0.449898465,0.220040614,0.376819551,0.157464463,0.302555844,0.192535537,0.572596458,0,0.550101535,0,0,0.449898465,0.116973601,0.233947202,1,1,0.379959386,1,0.550101535,0.595091381,0.179959386,0.449898465,0,0.449898465,0.449898465,0.00883293,0.043038543,0.052500873,0.058714593,0.076342474,0.086723863,0.057944688,0.044468383,0.042812636,0.065100306,0.060912607,0.065782794,0.03120885,0.042640983,0.028677725,0.028661649,0.023415309,0.018428413,0.016518587,0.147273795,Warning
2,0.15601864,0.15599452,1,1,1,1,1,1,0.487205484,0.223400384,0.242205098,0.500002412,0.743995832,0.687986839,0.854907006,0.312013161,1,1,0.309594078,0.31240625,0.234394518,0.160996546,0.234015901,0.851483016,0.687986839,1,0.867387774,0.312013161,0.031198904,0.109213048,0.890786952,0.15601864,0.84398136,0.062407456,0.106872769,0.123396766,0.154608936,0.054606524,0.163818366,0,0.84400548,0,0,0.84398136,0.040558575,0.42511057,0.312013161,1,0.12480044,0.312013161,0.50001206,0.171618092,0.062397808,0.431189256,0.687986839,0.84398136,0.84398136,0.033540818,0.067214574,0.097817485,0.082545591,0.109783667,0.11112477,0.082598975,0.065846103,0.048247041,0.056390546,0.036109065,0.047460213,0.022246644,0.028258552,0.013762392,0.011864232,0.011672152,0.005988037,0.004661,0.062868143,Warning
3,0.058083612,0.866176146,1,1,1,1,1,1,0.935365108,0.289521795,0.045072686,0.419190747,0.357060868,0.075740242,0.800525585,0.924259758,1,1,0.034083109,0.313638072,0.365405519,0.14507447,0.491171685,0.924219621,0.075740242,1,0.82941505,0.924259758,0.173235229,0.040658529,0.959341471,0.058083612,0.941916388,0.023233445,0.039787274,0.310735675,0.039520011,0.020329264,0.101392419,0,0.133823854,0,0,0.941916388,0.225205798,0.488281717,0.924259758,1,0.53132241,0.924259758,0.095953733,0.144701227,0.346470458,0.896472243,0.075740242,0.941916388,0.941916388,0.002501817,0.058386171,0.088587643,0.085781934,0.112385887,0.148819048,0.110477333,0.080641216,0.058649082,0.05764358,0.046997438,0.044139463,0.022253478,0.024865533,0.015569132,0.01183861,0.003917936,0.002261951,0.002957581,0.021325166,Warning
4,0.459151169,0.540848831,1,1,1,1,1,1,0.908169766,0.277042442,0.206618026,0.491830234,0.391830234,1.11E-16,0.558283834,1,1,1,5.00E-17,0.437745351,0.216339533,0.081127325,0.729575584,0.962140582,1.11E-16,1,0.597466857,1,0.108169766,0.321405818,0.678594182,0.459151169,0.540848831,0.183660467,0.314518551,0.189297091,0.252533143,0.160702909,0.48619361,0,0.459151169,0,0,0.540848831,0.140620696,0.281241392,1,1,0.416339533,1,0.459151169,0.513236052,0.216339533,0.540848831,1.11E-16,0.540848831,0.540848831,0.007696367,0.044400355,0.057634711,0.061976635,0.082379894,0.095745196,0.063160646,0.048098778,0.045226942,0.064512398,0.060368389,0.065572111,0.029600983,0.041107914,0.027232433,0.025687324,0.021083412,0.015783656,0.015252383,0.127479476,Warning
5,0.020584494,0.969909852,1,1,1,1,1,1,0.989229144,0.29802021,0.011639436,0.405067464,0.309820291,0.009505654,0.809977856,0.990494346,1,1,0.004277544,0.305700066,0.390340354,0.147387609,0.50553942,0.93020518,0.009505654,1,0.840104376,0.990494346,0.19398197,0.014409146,0.985590854,0.020584494,0.979415506,0.008233798,0.014100379,0.340419014,0.012272037,0.007204573,0.069079987,0,0.030090148,0,0,0.979415506,0.252176562,0.50910595,0.990494346,1,0.58606281,0.990494346,0.025337321,0.11757548,0.387963941,0.973712114,0.009505654,0.979415506,0.979415506,0.000546801,0.060334939,0.088843618,0.08830111,0.115908785,0.156623569,0.114067077,0.086433518,0.060133293,0.057400556,0.05087634,0.0412,0.021842555,0.021549559,0.014863524,0.010830801,0.001409363,0.000812821,0.001135961,0.006885807,Warning
6,0.796762233,0.203237767,1,1,1,1,1,1,0.840647553,0.260161888,0.358543005,0.559352447,0.459352447,5.55E-17,0.365845527,1,1,1,2.50E-17,0.53902867,0.081295107,0.030485665,0.898381116,0.985773356,5.55E-17,1,0.411780772,1,0.040647553,0.557733563,0.442266437,0.796762233,0.203237767,0.318704893,0.545782129,0.071133219,0.438219228,0.278866781,0.806924121,0,0.796762233,0,0,0.203237767,0.05284182,0.105683639,1,1,0.281295107,1,0.796762233,0.817086009,0.081295107,0.203237767,5.55E-17,0.203237767,0.203237767,0.011472811,0.040739354,0.04343032,0.052236956,0.061326606,0.065800342,0.050016114,0.040836583,0.037754282,0.065049883,0.058451162,0.061029456,0.035649009,0.043173706,0.030354291,0.036711949,0.028499244,0.024990853,0.01870829,0.19376879,Warning
7,0.181824967,0.18340451,1,1,1,1,1,1,0.519295641,0.227431699,0.240513866,0.499842046,0.717227307,0.634770523,0.830618463,0.365229477,1,1,0.285646735,0.322808964,0.232054435,0.154464781,0.273527222,0.86020758,0.634770523,1,0.845211846,0.365229477,0.036680902,0.127277477,0.872722523,0.181824967,0.818175033,0.072729987,0.124550103,0.127668631,0.163480784,0.063638739,0.190995193,0,0.81659549,0,0,0.818175033,0.047685173,0.412755607,0.365229477,1,0.146407699,0.365229477,0.499210229,0.200165418,0.073361804,0.437312719,0.634770523,0.818175033,0.818175033,0.030985988,0.064542903,0.092952306,0.079007889,0.106408955,0.109904842,0.081151357,0.063655447,0.048063314,0.057288439,0.037615544,0.050395913,0.022789749,0.030458974,0.01552641,0.01346485,0.013018725,0.006885026,0.005442294,0.070441076,Warning
8,0.304242243,0.524756432,1,1,1,1,1,1,0.819450624,0.267687755,0.179659341,0.477948581,0.463449244,0.171001325,0.67736216,0.828998675,1,1,0.076950596,0.382722607,0.252652904,0.11291373,0.566620459,0.929066785,0.171001325,1,0.708316965,0.828998675,0.104951286,0.21296957,0.78703043,0.304242243,0.695757757,0.121696897,0.208405936,0.200764884,0.184433366,0.106484785,0.330480065,0,0.475243568,0,0,0.695757757,0.136436672,0.358374007,0.828998675,1,0.375702308,0.828998675,0.389742906,0.356717886,0.209902573,0.593156962,0.171001325,0.695757757,0.695757757,0.010900718,0.050173088,0.070888232,0.067962572,0.092634147,0.109898198,0.078008374,0.056206731,0.048891081,0.061847125,0.050582534,0.0610709,0.026205096,0.037936537,0.023122227,0.020399158,0.016796687,0.010915707,0.010799427,0.094761459,Warning
9,0.431945019,0.29122914,1,1,1,1,1,1,0.719832907,0.250720165,0.263581719,0.514071588,0.552484508,0.276825841,0.623619991,0.723174159,1,1,0.124571629,0.415742214,0.185698116,0.099049539,0.577559589,0.924248792,0.276825841,1,0.653954116,0.723174159,0.058245828,0.302361513,0.697638487,0.431945019,0.568054981,0.172778007,0.295882338,0.129612783,0.265252344,0.151180757,0.446506476,0,0.70877086,0,0,0.568054981,0.075719576,0.289852073,0.723174159,1,0.261126488,0.723174159,0.570357939,0.461067933,0.116491656,0.401959477,0.276825841,0.568054981,0.568054981,0.018490151,0.04978094,0.062201906,0.060291383,0.0834835,0.092112555,0.064557764,0.048627699,0.043827764,0.063258958,0.051912388,0.064623839,0.028044944,0.041542205,0.026388784,0.024965774,0.021886687,0.014892484,0.012081533,0.127028741,Warning
10,0.611852895,0.139493861,1,1,1,1,1,1,0.70357215,0.244542031,0.337497114,0.547235903,0.571562526,0.248653245,0.516001434,0.751346755,1,1,0.11189396,0.471123206,0.117960855,0.070654728,0.681599825,0.940504781,0.248653245,1,0.550778895,0.751346755,0.027898772,0.428297026,0.571702974,0.611852895,0.388147105,0.244741158,0.419119233,0.073688176,0.361384417,0.214148513,0.618827588,0,0.860506139,0,0,0.388147105,0.036268404,0.19686343,0.751346755,1,0.206066895,0.751346755,0.736179517,0.625802281,0.055797544,0.238955159,0.248653245,0.388147105,0.388147105,0.021007753,0.046971638,0.050877333,0.053649989,0.071454245,0.07519996,0.053594469,0.043338748,0.039494678,0.064857112,0.055636126,0.06498219,0.031268648,0.043500514,0.030111709,0.031505425,0.026416511,0.020017529,0.014061881,0.162053544,Warning
11,0.292144649,0.366361843,1,1,1,1,1,1,0.702525615,0.251243417,0.216838469,0.492578281,0.563325035,0.341493508,0.714946382,0.658506492,1,1,0.153672079,0.370568719,0.231918114,0.123252978,0.47532557,0.906055969,0.341493508,1,0.74054447,0.658506492,0.073272369,0.204501254,0.795498746,0.292144649,0.707855351,0.116857859,0.200119084,0.162375996,0.194828908,0.102250627,0.310462741,0,0.633638157,0,0,0.707855351,0.095254079,0.361254913,0.658506492,1,0.278246036,0.658506492,0.462891403,0.328780833,0.146544737,0.502959247,0.341493508,0.707855351,0.707855351,0.017951895,0.053638917,0.074707196,0.068173775,0.093911483,0.106482644,0.077279957,0.056159592,0.047722815,0.060860254,0.045711467,0.059753555,0.025419693,0.037648652,0.021973028,0.019557713,0.017137691,0.010525473,0.009335473,0.096048728,Warning
12,0.367429183,0.632570817,1,1,1,1,1,1,0.926514163,0.281628541,0.165343133,0.473485837,0.373485837,0,0.610565365,1,1,1,0,0.410228755,0.253028327,0.094885622,0.683714592,0.955720043,0,1,0.647913949,1,0.126514163,0.257200428,0.742799572,0.367429183,0.632570817,0.146971673,0.251688991,0.221399786,0.202086051,0.128600214,0.399057724,0,0.367429183,0,0,0.632570817,0.164468412,0.328936825,1,1,0.453028327,1,0.367429183,0.430686265,0.253028327,0.632570817,0,0.632570817,0.632570817,0.006431489,0.046261366,0.063626045,0.065971719,0.088775735,0.105843323,0.070001162,0.05314878,0.047984524,0.063613444,0.059228145,0.06393403,0.027990674,0.038729964,0.025355129,0.022670897,0.018280277,0.012976883,0.013556362,0.105620051,Warning
13,0.199673782,0.514234438,1,1,1,1,1,1,0.759800998,0.261407133,0.161376147,0.468543934,0.511589824,0.286091779,0.757682464,0.713908221,1,1,0.128741301,0.345597546,0.27721672,0.134353522,0.456791001,0.906785233,0.286091779,1,0.783093187,0.713908221,0.102846888,0.139771648,0.860228352,0.199673782,0.800326218,0.079869513,0.136776541,0.208591231,0.138429758,0.069885824,0.225385504,0,0.485765562,0,0,0.800326218,0.133700954,0.410447798,0.713908221,1,0.348475419,0.713908221,0.342719672,0.251097226,0.205693775,0.62867115,0.286091779,0.800326218,0.800326218,0.012734196,0.054786382,0.082228948,0.075116361,0.100804321,0.120760135,0.090641333,0.063576152,0.051750479,0.059248966,0.042709361,0.0543652,0.023987102,0.033973507,0.018997088,0.016164705,0.012560021,0.007408398,0.007494025,0.070693317,Warning
14,0.592414569,0.046450413,1,1,1,1,1,1,0.628722573,0.23426577,0.356870311,0.554596416,0.635163925,0.361135018,0.547327999,0.638864982,1,1,0.162510758,0.45966762,0.10886392,0.079194566,0.615639775,0.924521467,0.361135018,1,0.57834224,0.638864982,0.009290083,0.414690198,0.585309802,0.592414569,0.407585431,0.236965828,0.40580398,0.052371146,0.361941515,0.207345099,0.594737089,0,0.953549587,0,0,0.407585431,0.012077107,0.204721724,0.638864982,1,0.146353161,0.638864982,0.772982078,0.59705961,0.018580165,0.19090442,0.361135018,0.407585431,0.407585431,0.027067668,0.049777718,0.052488296,0.053251997,0.072939592,0.073691057,0.050828776,0.044118013,0.03890149,0.064674853,0.054760693,0.065134962,0.030543102,0.042716175,0.030114383,0.031038188,0.026773862,0.019480939,0.012583093,0.159115143,Warning
15,0.607544852,0.170524124,1,1,1,1,1,1,0.723139313,0.247429655,0.328877939,0.543702073,0.554667585,0.221931024,0.513647019,0.778068976,1,1,0.099868961,0.471166904,0.123692406,0.069964823,0.692806914,0.943677106,0.221931024,1,0.549139985,0.778068976,0.034104825,0.425281396,0.574718604,0.607544852,0.392455148,0.243017941,0.416168224,0.081876546,0.356342771,0.212640698,0.616071058,0,0.829475876,0,0,0.392455148,0.044336272,0.199638057,0.778068976,1,0.223823445,0.778068976,0.718510364,0.624597264,0.068209649,0.259296533,0.221931024,0.392455148,0.392455148,0.019497764,0.046451985,0.050951683,0.054056237,0.07173443,0.076316698,0.0544204,0.043311466,0.03981493,0.064866845,0.055905591,0.065053512,0.031293591,0.04358814,0.029964737,0.031279009,0.026137669,0.019908152,0.014361425,0.161085736,Warning
16,0.064157423,0.935842577,1,1,1,1,1,1,0.987168515,0.296792129,0.02887084,0.412831485,0.312831485,0,0.783430269,1,1,1,0,0.319247227,0.374337031,0.140376387,0.532078711,0.93449102,0,1,0.814713418,1,0.187168515,0.044910196,0.955089804,0.064157423,0.935842577,0.025662969,0.043947835,0.327544902,0.035286582,0.022455098,0.110949551,0,0.064157423,0,0,0.935842577,0.24331907,0.48663814,1,1,0.574337031,1,0.064157423,0.15774168,0.374337031,0.935842577,0,0.935842577,0.935842577,0.00128179,0.057767767,0.08561119,0.084824903,0.112288727,0.149008982,0.106390265,0.081022902,0.058605361,0.058505964,0.05276183,0.045797957,0.022659635,0.024350102,0.016512016,0.012410874,0.004209038,0.002496592,0.003380421,0.020113683,Warning
